epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,631.765,0.69393,1.24541,1.37097,0.71397,0.61035,0.70296,0.48061,1.10464,1.3219,2.04213,0.000333017,0.000333017,0.0670313
2,1139.31,0.65856,0.96659,1.33922,0.84732,0.71746,0.81449,0.58093,1.04115,0.90334,1.88109,0.000666278,0.000666278,0.0340312
3,1605.45,0.63759,0.85476,1.32299,0.71466,0.90131,0.86109,0.6248,0.981,0.91726,1.77617,0.00099925,0.00099925,0.00103085
4,2063.23,0.60357,0.76483,1.29694,0.73014,0.84465,0.83108,0.6062,0.95341,0.76123,1.78624,0.000999023,0.000999023,0.000999023
5,2522.55,0.58356,0.70304,1.28535,0.88253,0.89196,0.90964,0.65792,0.92843,0.62196,1.66043,0.000998264,0.000998264,0.000998264
6,2979.3,0.56452,0.66535,1.26983,0.85283,0.89949,0.90091,0.66941,0.89295,0.59509,1.62962,0.000997288,0.000997288,0.000997288
7,3438.3,0.55325,0.62721,1.26047,0.88306,0.91445,0.91724,0.69113,0.87329,0.58823,1.61653,0.000996097,0.000996097,0.000996097
8,3893.87,0.54097,0.60812,1.25323,0.87345,0.89616,0.90909,0.67795,0.87561,0.56194,1.64647,0.00099469,0.00099469,0.00099469
9,4352.51,0.53626,0.59461,1.25462,0.87448,0.92172,0.92365,0.69889,0.82819,0.52019,1.56153,0.000993068,0.000993068,0.000993068
10,4809.42,0.5294,0.58241,1.25003,0.87063,0.91061,0.91758,0.70559,0.84373,0.55558,1.61141,0.000991232,0.000991232,0.000991232
11,5268.62,0.52071,0.56303,1.24314,0.88611,0.91026,0.91427,0.70054,0.86043,0.55956,1.58494,0.000989183,0.000989183,0.000989183
12,5724.64,0.51345,0.55097,1.23544,0.87327,0.92448,0.92154,0.70339,0.856,0.5178,1.58278,0.000986922,0.000986922,0.000986922
13,6181.16,0.5118,0.54666,1.23072,0.88769,0.91577,0.92196,0.71041,0.79904,0.52189,1.54853,0.000984449,0.000984449,0.000984449
14,6638.68,0.51094,0.53419,1.23703,0.88527,0.91553,0.9204,0.69957,0.85547,0.50931,1.56612,0.000981765,0.000981765,0.000981765
15,7095.46,0.50158,0.51941,1.22934,0.88868,0.90827,0.92376,0.72201,0.79279,0.47328,1.52949,0.000978873,0.000978873,0.000978873
16,7551.73,0.50591,0.53625,1.233,0.86435,0.91432,0.92416,0.70971,0.80028,0.52965,1.51115,0.000975773,0.000975773,0.000975773
17,8008.57,0.49046,0.49217,1.22201,0.91124,0.931,0.93889,0.71993,0.8416,0.48464,1.54709,0.000972466,0.000972466,0.000972466
18,8465.01,0.49846,0.49391,1.22584,0.91387,0.91429,0.93238,0.72278,0.78293,0.46095,1.50535,0.000968955,0.000968955,0.000968955
19,8922.11,0.48855,0.49111,1.21774,0.9026,0.94055,0.94915,0.7229,0.80659,0.46708,1.51426,0.000965239,0.000965239,0.000965239
20,9377.83,0.48601,0.48777,1.21673,0.9097,0.92018,0.93755,0.73863,0.77192,0.47097,1.49058,0.000961322,0.000961322,0.000961322
21,9835.55,0.47713,0.47713,1.21093,0.91604,0.93393,0.93989,0.72034,0.8107,0.48257,1.50959,0.000957205,0.000957205,0.000957205
22,10292.3,0.4812,0.48012,1.21434,0.90536,0.91446,0.93429,0.72333,0.8081,0.47327,1.51348,0.000952889,0.000952889,0.000952889
23,10750.6,0.48586,0.4859,1.21737,0.92395,0.9219,0.94225,0.73724,0.77137,0.46368,1.48788,0.000948377,0.000948377,0.000948377
24,11208.9,0.48388,0.47567,1.21515,0.88418,0.92893,0.93551,0.71814,0.79475,0.49912,1.49694,0.000943671,0.000943671,0.000943671
25,11665.3,0.47288,0.47394,1.21001,0.89551,0.93064,0.94167,0.74587,0.79028,0.46663,1.50497,0.000938772,0.000938772,0.000938772
